Time,Close
2022-12-7,10550.0
2022-12-6,10600.0
2022-12-5,11050.0
2022-12-2,10650.0
2022-12-1,10450.0
2022-11-30,10300.0
2022-11-29,10350.0
2022-11-28,10000.0
2022-11-25,9400.0
2022-11-24,9220.0
2022-11-23,9230.0
2022-11-22,9380.0
2022-11-21,9350.0
2022-11-18,9300.0
2022-11-17,9420.0
2022-11-16,9210.0
2022-11-15,8610.0
2022-11-14,9250.0
2022-11-11,9900.0
2022-11-10,9760.0
2022-11-9,10400.0
2022-11-8,10250.0
2022-11-7,10100.0
2022-11-4,10700.0
2022-11-3,10850.0
2022-11-2,10900.0
2022-11-1,10900.0
2022-10-31,10800.0
2022-10-28,10750.0
2022-10-27,10850.0
2022-10-26,10550.0
2022-10-25,10550.0
2022-10-24,10550.0
2022-10-21,11150.0
2022-10-20,11700.0
2022-10-19,11800.0
2022-10-18,11650.0
2022-10-17,11450.0
2022-10-14,11650.0
2022-10-13,11600.0
2022-10-12,11400.0
2022-10-11,11000.0
2022-10-10,11250.0
2022-10-7,11350.0
2022-10-6,12200.0
2022-10-5,12600.0
2022-10-4,12400.0
2022-10-3,12500.0
2022-09-30,13350.0
2022-09-29,13600.0
2022-09-28,13650.0
2022-09-27,14050.0
2022-09-26,14250.0
2022-09-23,14600.0
2022-09-22,14800.0
2022-09-21,14650.0
2022-09-20,14950.0
2022-09-19,14550.0
2022-09-16,14850.0
2022-09-15,15150.0
2022-09-14,14750.0
2022-09-13,14800.0
2022-09-12,14650.0
2022-09-9,14850.0
2022-09-8,15150.0
2022-09-7,16250.0
2022-09-6,16850.0
2022-09-5,17000.0
2022-08-31,17250.0
2022-08-30,17100.0
2022-08-29,17050.0
2022-08-26,17650.0
2022-08-25,17900.0
2022-08-24,17900.0
2022-08-23,17450.0
2022-08-22,17400.0
2022-08-19,17400.0
2022-08-18,17350.0
2022-08-17,17350.0
2022-08-16,17700.0
2022-08-15,17650.0
2022-08-12,17850.0
2022-08-11,17800.0
2022-08-10,18100.0
2022-08-9,17550.0
2022-08-8,17600.0
2022-08-5,17800.0
2022-08-4,17100.0
2022-08-3,17050.0
2022-08-2,16950.0
2022-08-1,16950.0
2022-07-29,16500.0
2022-07-28,16100.0
2022-07-27,15950.0
2022-07-26,16200.0
2022-07-25,16350.0
2022-07-22,16600.0
2022-07-21,16450.0
2022-07-20,16600.0
2022-07-19,16400.0
2022-07-18,16400.0
2022-07-15,16400.0
2022-07-14,16450.0
2022-07-13,16450.0
2022-07-12,16350.0
2022-07-11,16300.0
2022-07-8,16350.0
2022-07-7,15650.0
2022-07-6,15600.0
2022-07-5,15450.0
2022-07-4,15750.0
2022-07-1,15600.0
2022-06-30,15500.0
2022-06-29,16050.0
2022-06-28,16500.0
2022-06-27,16300.0
2022-06-24,15250.0
2022-06-23,15300.0
2022-06-22,15350.0
2022-06-21,14950.0
2022-06-20,14600.0
2022-06-17,15600.0
2022-06-16,16250.0
2022-06-15,16150.0
2022-06-14,17100.0
2022-06-13,17100.0
2022-06-10,18000.0
2022-06-9,18500.0
2022-06-8,18050.0
2022-06-7,17650.0
2022-06-6,17900.0
2022-06-3,18050.0
2022-06-2,18000.0
2022-06-1,18600.0
2022-05-31,18650.0
2022-05-30,19150.0
2022-05-27,18600.0
2022-05-26,17850.0
2022-05-25,17800.0
2022-05-24,17400.0
2022-05-23,17850.0
2022-05-20,18400.0
2022-05-19,18350.0
2022-05-18,18800.0
2022-05-17,19200.0
2022-05-16,18100.0
2022-05-13,17750.0
2022-05-12,19000.0
2022-05-11,20300.0
2022-05-10,20100.0
2022-05-9,19550.0
2022-05-6,21000.0
2022-05-5,21950.0
2022-05-4,22300.0
2022-04-29,21750.0
2022-04-28,21700.0
2022-04-27,21850.0
2022-04-26,21500.0
2022-04-25,20700.0
2022-04-22,21900.0
2022-04-21,22300.0
2022-04-20,22550.0
2022-04-19,22300.0
2022-04-18,22550.0
2022-04-15,23400.0
2022-04-14,24000.0
2022-04-13,23850.0
2022-04-12,24000.0
2022-04-8,24100.0
2022-04-7,24700.0
2022-04-6,24950.0
2022-04-5,25200.0
2022-04-4,24900.0
2022-04-1,25050.0
2022-03-31,24900.0
2022-03-30,24900.0
2022-03-29,25100.0
2022-03-28,24950.0
2022-03-25,25350.0
2022-03-24,25450.0
2022-03-23,25200.0
2022-03-22,25300.0
2022-03-21,25200.0
2022-03-18,25350.0
2022-03-17,25600.0
2022-03-16,25700.0
2022-03-15,26150.0
2022-03-14,26150.0
2022-03-11,25800.0
2022-03-10,26200.0
2022-03-9,25000.0
2022-03-8,25200.0
2022-03-7,24900.0
2022-03-4,25400.0
2022-03-3,25000.0
2022-03-2,25000.0
2022-03-1,25400.0
2022-02-28,25350.0
2022-02-25,25900.0
2022-02-24,25650.0
2022-02-23,26250.0
2022-02-22,26100.0
2022-02-21,26800.0
2022-02-18,27300.0
2022-02-17,26800.0
2022-02-16,26350.0
2022-02-15,26250.0
2022-02-14,26400.0
2022-02-11,26200.0
2022-02-10,26400.0
2022-02-9,26250.0
2022-02-8,26000.0
2022-02-7,26000.0
2022-01-28,24300.0
2022-01-27,24000.0
2022-01-26,24100.0
2022-01-25,23350.0
2022-01-24,22800.0
2022-01-21,22700.0
2022-01-20,22800.0
2022-01-19,22700.0
2022-01-18,22950.0
2022-01-17,22900.0
2022-01-14,22700.0
2022-01-13,22650.0
2022-01-12,22950.0
2022-01-11,23050.0
2022-01-10,23200.0
2022-01-7,22650.0
2022-01-6,22850.0
2022-01-5,23100.0
2022-01-4,23300.0
2021-12-31,23150.0
2021-12-30,23200.0
2021-12-29,23200.0
2021-12-28,23100.0
2021-12-27,23350.0
2021-12-24,23300.0
2021-12-23,23100.0
2021-12-22,23100.0
2021-12-21,23350.0
2021-12-20,23700.0
2021-12-17,23450.0
2021-12-16,23350.0
2021-12-15,24300.0
2021-12-14,24950.0
2021-12-13,24900.0
2021-12-10,23600.0
2021-12-9,22900.0
2021-12-8,22950.0
2021-12-7,22200.0
2021-12-6,22050.0
2021-12-3,22800.0
2021-12-2,22900.0
2021-12-1,23050.0
2021-11-30,23000.0
2021-11-29,23150.0
2021-11-26,23850.0
2021-11-25,23800.0
2021-11-24,23650.0
2021-11-23,23350.0
2021-11-22,23000.0
2021-11-19,23450.0
2021-11-18,25200.0
2021-11-17,25800.0
2021-11-16,25100.0
2021-11-15,24600.0
2021-11-12,25050.0
2021-11-11,24900.0
2021-11-10,24650.0
2021-11-9,24800.0
2021-11-8,24900.0
2021-11-5,24650.0
2021-11-4,24150.0
2021-11-3,22950.0
2021-11-2,24600.0
2021-11-1,24700.0
2021-10-29,24800.0
2021-10-28,25000.0
2021-10-27,25650.0
2021-10-26,25800.0
2021-10-25,25400.0
2021-10-22,25950.0
2021-10-21,25950.0
2021-10-20,25900.0
2021-10-19,25750.0
2021-10-18,25600.0
2021-10-15,26050.0
2021-10-14,26300.0
2021-10-13,26450.0
2021-10-12,26700.0
2021-10-11,27000.0
2021-10-8,26100.0
2021-10-7,25950.0
